Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,25.610001,26.070000,25.120001,25.139999,25.139999,6913900
2022-02-21,25.000000,25.340000,24.040001,24.160000,24.160000,7108100
2022-02-22,24.780001,25.500000,24.750000,25.450001,25.450001,8523200
2022-02-23,25.540001,26.639999,25.010000,25.209999,25.209999,13235600
2022-02-24,24.010000,26.110001,23.860001,26.049999,26.049999,17075600
2022-02-25,25.459999,25.959999,25.000000,25.410000,25.410000,8268500
2022-03-02,25.730000,26.299999,24.520000,25.150000,25.150000,8276200
2022-03-03,24.900000,25.320000,24.360001,24.670000,24.670000,12142800
2022-03-04,24.809999,25.040001,23.770000,23.820000,23.820000,8262100
2022-03-07,24.120001,24.129999,22.920000,23.000000,23.000000,11010000
2022-03-08,23.200001,23.950001,22.760000,23.860001,23.860001,13148500
2022-03-09,23.950001,25.450001,23.950001,25.000000,25.000000,13566800
2022-03-10,24.799999,24.799999,23.830000,24.270000,24.270000,7168200
2022-03-11,24.480000,25.040001,23.840000,23.850000,23.850000,7856600
2022-03-14,24.280001,24.790001,23.510000,23.590000,23.590000,10238100
2022-03-15,23.700001,24.129999,22.969999,23.709999,23.709999,11101300
2022-03-16,23.700001,24.680000,23.500000,24.459999,24.459999,10908500
2022-03-17,24.350000,25.309999,24.080000,25.139999,25.139999,11797100
2022-03-18,25.100000,26.010000,24.879999,25.650000,25.650000,9480800
2022-03-21,25.469999,25.799999,24.430000,24.969999,24.969999,9517700
2022-03-22,25.299999,25.900000,25.190001,25.690001,25.690001,9114000
2022-03-23,25.570000,26.450001,25.160000,26.040001,26.040001,10993000
2022-03-24,26.070000,26.900000,25.930000,26.549999,26.549999,10080300
2022-03-25,26.709999,27.450001,26.670000,26.959999,26.959999,12442100
2022-03-28,27.070000,27.370001,26.570000,27.000000,27.000000,6909500
2022-03-29,27.520000,28.080000,27.059999,27.150000,27.150000,11274200
2022-03-30,26.969999,26.969999,26.000000,26.340000,26.340000,18754900
2022-03-31,26.379999,26.750000,25.790001,26.040001,26.040001,11932100
2022-04-01,26.209999,26.920000,26.180000,26.629999,26.629999,9129600
2022-04-04,26.629999,26.660000,26.200001,26.379999,26.379999,5612800
2022-04-05,26.299999,26.410000,25.129999,25.340000,25.340000,10814500
2022-04-06,25.040001,25.379999,24.209999,25.110001,25.110001,12586600
2022-04-07,24.910000,25.850000,24.600000,25.639999,25.639999,9539700
2022-04-08,25.360001,25.650000,25.190001,25.590000,25.590000,6495400
2022-04-11,25.590000,25.590000,24.950001,25.250000,25.250000,7362200
2022-04-12,25.469999,26.000000,24.740000,24.799999,24.799999,11316900
2022-04-13,24.910000,25.520000,24.830000,25.370001,25.370001,9530800
2022-04-14,25.080000,25.469999,24.930000,25.100000,25.100000,8335500
2022-04-18,24.889999,25.520000,24.889999,25.250000,25.250000,6582000
2022-04-19,24.980000,26.150000,24.940001,25.910000,25.910000,7638400
2022-04-20,26.059999,26.260000,25.709999,26.250000,26.250000,8244300
2022-04-22,26.049999,26.440001,25.040001,25.400000,25.400000,8893300
2022-04-25,24.990000,25.670000,24.809999,25.120001,25.120001,9302800
2022-04-26,24.900000,25.100000,23.719999,23.850000,23.850000,10117300
2022-04-27,24.010000,24.459999,23.620001,23.840000,23.840000,11131600
2022-04-28,23.900000,24.420000,23.500000,24.129999,24.129999,7725900
2022-04-29,24.490000,24.590000,22.920000,23.090000,23.090000,10793400
2022-05-02,23.150000,23.469999,22.540001,23.080000,23.080000,9203200
2022-05-03,23.090000,23.200001,22.340000,22.639999,22.639999,8359900
2022-05-04,22.309999,23.160000,21.410000,23.020000,23.020000,24433400
2022-05-05,22.459999,22.770000,21.700001,22.120001,22.120001,15080200
2022-05-06,22.030001,22.090000,21.379999,21.900000,21.900000,16646500
2022-05-09,21.980000,22.860001,21.520000,22.690001,22.690001,25317500
2022-05-10,22.910000,24.100000,22.910000,23.370001,23.370001,14030700
2022-05-11,23.219999,23.580000,22.360001,22.629999,22.629999,10536500
2022-05-12,22.360001,23.740000,22.020000,23.660000,23.660000,14114100
2022-05-13,23.709999,24.770000,23.629999,24.250000,24.250000,10085600
2022-05-16,24.260000,24.980000,24.040001,24.520000,24.520000,8059400
2022-05-17,24.910000,25.450001,24.420000,24.830000,24.830000,12727400
2022-05-18,24.830000,24.830000,23.610001,23.870001,23.870001,14533600
2022-05-19,23.850000,24.860001,23.770000,24.540001,24.540001,12496200
2022-05-20,24.900000,24.950001,24.129999,24.670000,24.670000,12381800
